company_group,sector,ticker,position,statement_type,concepts_used,extraction_method,n_filings,latest_value,latest_period
StapA,Consumer Staples,WMT,income_before_tax,income_statement,"IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest, IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments",sec_companyfacts,21,7148000000.0,2026-04-30
StapA,Consumer Staples,COST,income_tax,income_statement,IncomeTaxExpenseBenefit,sec_companyfacts,23,746000000.0,2026-05-10
StapA,Consumer Staples,KO,income_tax,income_statement,IncomeTaxExpenseBenefit,sec_companyfacts,21,645000000.0,2026-04-03
StapA,Consumer Staples,PEP,income_tax,income_statement,IncomeTaxExpenseBenefit,sec_companyfacts,21,632000000.0,2026-03-21
StapA,Consumer Staples,PG,income_tax,income_statement,IncomeTaxExpenseBenefit,sec_companyfacts,23,1039000000.0,2026-03-31
StapA,Consumer Staples,PM,income_tax,income_statement,IncomeTaxExpenseBenefit,sec_companyfacts,21,676000000.0,2026-03-31
StapA,Consumer Staples,WMT,income_tax,income_statement,IncomeTaxExpenseBenefit,sec_companyfacts,21,1658000000.0,2026-04-30
StapA,Consumer Staples,COST,inventory,balance_sheet,InventoryNet,sec_companyfacts,23,19418000000.0,2026-05-10
StapA,Consumer Staples,KO,inventory,balance_sheet,InventoryNet,sec_companyfacts,21,4730000000.0,2026-04-03
StapA,Consumer Staples,PEP,inventory,balance_sheet,InventoryNet,sec_companyfacts,21,6211000000.0,2026-03-21
StapA,Consumer Staples,PG,inventory,balance_sheet,InventoryNet,sec_companyfacts,23,7853000000.0,2026-03-31
StapA,Consumer Staples,PM,inventory,balance_sheet,InventoryNet,sec_companyfacts,21,11392000000.0,2026-03-31
StapA,Consumer Staples,WMT,inventory,balance_sheet,InventoryNet,sec_companyfacts,21,62570000000.0,2026-04-30
StapA,Consumer Staples,COST,long_term_debt,balance_sheet,LongTermDebtNoncurrent,sec_companyfacts,23,5670000000.0,2026-05-10
StapA,Consumer Staples,KO,long_term_debt,balance_sheet,"LongTermDebtAndCapitalLeaseObligations, LongTermDebtNoncurrent",sec_companyfacts,21,39065000000.0,2026-04-03
StapA,Consumer Staples,PEP,long_term_debt,balance_sheet,"LongTermDebtAndCapitalLeaseObligations, LongTermDebtNoncurrent",sec_companyfacts,21,42577000000.0,2026-03-21
StapA,Consumer Staples,PG,long_term_debt,balance_sheet,LongTermDebtNoncurrent,sec_companyfacts,23,23852000000.0,2026-03-31
StapA,Consumer Staples,PM,long_term_debt,balance_sheet,LongTermDebtAndCapitalLeaseObligations,sec_companyfacts,21,43808000000.0,2026-03-31
StapA,Consumer Staples,WMT,long_term_debt,balance_sheet,LongTermDebtNoncurrent,sec_companyfacts,21,36887000000.0,2026-04-30
StapA,Consumer Staples,COST,net_income,income_statement,NetIncomeLoss,sec_companyfacts,23,2192000000.0,2026-05-10
StapA,Consumer Staples,KO,net_income,income_statement,NetIncomeLoss,sec_companyfacts,21,3924000000.0,2026-04-03
StapA,Consumer Staples,PEP,net_income,income_statement,NetIncomeLoss,sec_companyfacts,21,2327000000.0,2026-03-21
StapA,Consumer Staples,PG,net_income,income_statement,"NetIncomeLoss, ProfitLoss",sec_companyfacts,23,3932000000.0,2026-03-31
StapA,Consumer Staples,PM,net_income,income_statement,NetIncomeLoss,sec_companyfacts,21,2438000000.0,2026-03-31
StapA,Consumer Staples,WMT,net_income,income_statement,NetIncomeLoss,sec_companyfacts,21,5330000000.0,2026-04-30
StapA,Consumer Staples,COST,operating_cash_flow,cash_flow_statement,NetCashProvidedByUsedInOperatingActivities,sec_companyfacts,23,3449000000.0,2026-05-10
StapA,Consumer Staples,KO,operating_cash_flow,cash_flow_statement,NetCashProvidedByUsedInOperatingActivities,sec_companyfacts,21,2021000000.0,2026-04-03
StapA,Consumer Staples,PEP,operating_cash_flow,cash_flow_statement,NetCashProvidedByUsedInOperatingActivities,sec_companyfacts,21,41000000.0,2026-03-21
StapA,Consumer Staples,PG,operating_cash_flow,cash_flow_statement,NetCashProvidedByUsedInOperatingActivities,sec_companyfacts,23,4045000000.0,2026-03-31
StapA,Consumer Staples,PM,operating_cash_flow,cash_flow_statement,NetCashProvidedByUsedInOperatingActivities,sec_companyfacts,21,-399000000.0,2026-03-31
StapA,Consumer Staples,WMT,operating_cash_flow,cash_flow_statement,NetCashProvidedByUsedInOperatingActivities,sec_companyfacts,21,4738000000.0,2026-04-30
StapA,Consumer Staples,COST,operating_income,income_statement,OperatingIncomeLoss,sec_companyfacts,23,2815000000.0,2026-05-10
StapA,Consumer Staples,KO,operating_income,income_statement,OperatingIncomeLoss,sec_companyfacts,21,4359000000.0,2026-04-03
StapA,Consumer Staples,PEP,operating_income,income_statement,OperatingIncomeLoss,sec_companyfacts,21,3213000000.0,2026-03-21
StapA,Consumer Staples,PG,operating_income,income_statement,OperatingIncomeLoss,sec_companyfacts,23,4576000000.0,2026-03-31
StapA,Consumer Staples,PM,operating_income,income_statement,OperatingIncomeLoss,sec_companyfacts,21,3893000000.0,2026-03-31
StapA,Consumer Staples,WMT,operating_income,income_statement,OperatingIncomeLoss,sec_companyfacts,21,7493000000.0,2026-04-30
StapA,Consumer Staples,PEP,research_and_development,income_statement,ResearchAndDevelopmentExpense,sec_companyfacts,5,839000000.0,2025-12-27
StapA,Consumer Staples,PG,research_and_development,income_statement,ResearchAndDevelopmentExpense,sec_companyfacts,5,2100000000.0,2025-06-30
StapA,Consumer Staples,PM,research_and_development,income_statement,ResearchAndDevelopmentExpense,sec_companyfacts,5,756000000.0,2025-12-31
StapA,Consumer Staples,COST,revenue,income_statement,"RevenueFromContractWithCustomerExcludingAssessedTax, Revenues",sec_companyfacts,23,70527000000.0,2026-05-10
StapA,Consumer Staples,KO,revenue,income_statement,Revenues,sec_companyfacts,21,12472000000.0,2026-04-03
StapA,Consumer Staples,PEP,revenue,income_statement,Revenues,sec_companyfacts,21,19443000000.0,2026-03-21
StapA,Consumer Staples,PG,revenue,income_statement,Revenues,sec_companyfacts,23,21235000000.0,2026-03-31
StapA,Consumer Staples,PM,revenue,income_statement,RevenueFromContractWithCustomerExcludingAssessedTax,sec_companyfacts,21,10146000000.0,2026-03-31
StapA,Consumer Staples,WMT,revenue,income_statement,Revenues,sec_companyfacts,21,177751000000.0,2026-04-30
StapA,Consumer Staples,COST,short_term_debt,balance_sheet,LongTermDebtCurrent,sec_companyfacts,23,0.0,2026-05-10
StapA,Consumer Staples,KO,short_term_debt,balance_sheet,"LongTermDebtAndCapitalLeaseObligationsCurrent, LongTermDebtCurrent",sec_companyfacts,21,4493000000.0,2026-04-03
StapA,Consumer Staples,PEP,short_term_debt,balance_sheet,"DebtCurrent, LongTermDebtCurrent",sec_companyfacts,21,1600000000.0,2026-03-21
StapA,Consumer Staples,PG,short_term_debt,balance_sheet,DebtCurrent,sec_companyfacts,23,13174000000.0,2026-03-31
StapA,Consumer Staples,PM,short_term_debt,balance_sheet,LongTermDebtAndCapitalLeaseObligationsCurrent,sec_companyfacts,21,2447000000.0,2026-03-31
StapA,Consumer Staples,WMT,short_term_debt,balance_sheet,LongTermDebtCurrent,sec_companyfacts,21,3896000000.0,2026-04-30
StapA,Consumer Staples,COST,total_assets,balance_sheet,Assets,sec_companyfacts,23,86430000000.0,2026-05-10
StapA,Consumer Staples,KO,total_assets,balance_sheet,Assets,sec_companyfacts,21,104217000000.0,2026-04-03
