ticker,sector,company_group,position,concept,concept_priority,taxonomy,unit,value,start,end,fy,fp,form,filed,frame,accession_number,label,source,statement_type,duration_days
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,5332923000.0,2025-06-30,2025-12-28,,,10-Q,2026-01-29,,0000707549-26-000009,,ixbrl,income_statement,181
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,4468359000.0,2024-07-01,2024-12-29,,,10-Q,2026-01-29,,0000707549-26-000009,,ixbrl,income_statement,181
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,93438000.0,2025-09-29,2025-12-28,,,10-Q,2026-01-29,,0000707549-26-000009,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,63042000.0,2024-09-30,2024-12-29,,,10-Q,2026-01-29,,0000707549-26-000009,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,180272000.0,2025-06-30,2025-12-28,,,10-Q,2026-01-29,,0000707549-26-000009,,ixbrl,income_statement,181
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,134777000.0,2024-07-01,2024-12-29,,,10-Q,2026-01-29,,0000707549-26-000009,,ixbrl,income_statement,181
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,2639294000.0,2025-06-30,2025-09-28,,,10-Q,2025-10-24,,0000707549-25-000085,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,2165293000.0,2024-07-01,2024-09-29,,,10-Q,2025-10-24,,0000707549-25-000085,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,86834000.0,2025-06-30,2025-09-28,,,10-Q,2025-10-24,,0000707549-25-000085,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,71735000.0,2024-07-01,2024-09-29,,,10-Q,2025-10-24,,0000707549-25-000085,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,9456532000.0,2024-07-01,2025-06-29,,,10-K,2025-08-11,,0000707549-25-000075,,ixbrl,income_statement,363
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,7809220000.0,2023-06-26,2024-06-30,,,10-K,2025-08-11,,0000707549-25-000075,,ixbrl,income_statement,370
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,9573425000.0,2022-06-27,2023-06-25,,,10-K,2025-08-11,,0000707549-25-000075,,ixbrl,income_statement,363
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,236991000.0,2024-07-01,2025-06-29,,,10-K,2025-08-11,,0000707549-25-000075,,ixbrl,income_statement,363
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,385867000.0,2023-06-26,2024-06-30,,,10-K,2025-08-11,,0000707549-25-000075,,ixbrl,income_statement,370
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,237689000.0,2022-06-27,2023-06-25,,,10-K,2025-08-11,,0000707549-25-000075,,ixbrl,income_statement,363
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,2406489000.0,2024-12-30,2025-03-30,,,10-Q,2025-04-25,,0000707549-25-000054,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,1977820000.0,2023-12-25,2024-03-31,,,10-Q,2025-04-25,,0000707549-25-000054,,ixbrl,income_statement,97
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,6874848000.0,2024-07-01,2025-03-30,,,10-Q,2025-04-25,,0000707549-25-000054,,ixbrl,income_statement,272
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,5783087000.0,2023-06-26,2024-03-31,,,10-Q,2025-04-25,,0000707549-25-000054,,ixbrl,income_statement,279
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,2303066000.0,2024-09-30,2024-12-29,,,10-Q,2025-01-31,,0000707549-25-000014,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,1985847000.0,2023-09-25,2023-12-24,,,10-Q,2025-01-31,,0000707549-25-000014,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,4468359000.0,2024-07-01,2024-12-29,,,10-Q,2025-01-31,,0000707549-25-000014,,ixbrl,income_statement,181
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,3805267000.0,2023-06-26,2023-12-24,,,10-Q,2025-01-31,,0000707549-25-000014,,ixbrl,income_statement,181
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,2165293000.0,2024-07-01,2024-09-29,,,10-Q,2024-10-28,,0000707549-24-000128,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,1819420000.0,2023-06-26,2023-09-24,,,10-Q,2024-10-28,,0000707549-24-000128,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,7809220000.0,2023-06-26,2024-06-30,,,10-K,2024-08-29,,0000707549-24-000106,,ixbrl,income_statement,370
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,9573425000.0,2022-06-27,2023-06-25,,,10-K,2024-08-29,,0000707549-24-000106,,ixbrl,income_statement,363
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,9355232000.0,2021-06-28,2022-06-26,,,10-K,2024-08-29,,0000707549-24-000106,,ixbrl,income_statement,363
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,1977820000.0,2023-12-25,2024-03-31,,,10-Q,2024-04-29,,0000707549-24-000067,,ixbrl,income_statement,97
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,2197237000.0,2022-12-26,2023-03-26,,,10-Q,2024-04-29,,0000707549-24-000067,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,5783087000.0,2023-06-26,2024-03-31,,,10-Q,2024-04-29,,0000707549-24-000067,,ixbrl,income_statement,279
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,7835743000.0,2022-06-27,2023-03-26,,,10-Q,2024-04-29,,0000707549-24-000067,,ixbrl,income_statement,272
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,1985847000.0,2023-09-25,2023-12-24,,,10-Q,2024-01-29,,0000707549-24-000016,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,2901220000.0,2022-09-26,2022-12-25,,,10-Q,2024-01-29,,0000707549-24-000016,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,3805267000.0,2023-06-26,2023-12-24,,,10-Q,2024-01-29,,0000707549-24-000016,,ixbrl,income_statement,181
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,5638506000.0,2022-06-27,2022-12-25,,,10-Q,2024-01-29,,0000707549-24-000016,,ixbrl,income_statement,181
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,1819420000.0,2023-06-26,2023-09-24,,,10-Q,2023-10-23,,0000707549-23-000115,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,2737286000.0,2022-06-27,2022-09-25,,,10-Q,2023-10-23,,0000707549-23-000115,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,9573425000.0,2022-06-27,2023-06-25,,,10-K,2023-08-15,,0000707549-23-000102,,ixbrl,income_statement,363
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,9355232000.0,2021-06-28,2022-06-26,,,10-K,2023-08-15,,0000707549-23-000102,,ixbrl,income_statement,363
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,7820844000.0,2020-06-29,2021-06-27,,,10-K,2023-08-15,,0000707549-23-000102,,ixbrl,income_statement,363
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,2197237000.0,2022-12-26,2023-03-26,,,10-Q,2023-04-24,,0000707549-23-000081,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,2243791000.0,2021-12-27,2022-03-27,,,10-Q,2023-04-24,,0000707549-23-000081,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,7835743000.0,2022-06-27,2023-03-26,,,10-Q,2023-04-24,,0000707549-23-000081,,ixbrl,income_statement,272
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,6820190000.0,2021-06-28,2022-03-27,,,10-Q,2023-04-24,,0000707549-23-000081,,ixbrl,income_statement,272
